Semana,blockchain: (Todo el mundo)
2018-01-28,100
2018-02-04,91
2018-02-11,77
2018-02-18,82
2018-02-25,78
2018-03-04,78
2018-03-11,78
2018-03-18,77
2018-03-25,70
2018-04-01,66
2018-04-08,68
2018-04-15,70
2018-04-22,72
2018-04-29,71
2018-05-06,71
2018-05-13,77
2018-05-20,66
2018-05-27,65
2018-06-03,67
2018-06-10,62
2018-06-17,63
2018-06-24,61
2018-07-01,54
2018-07-08,56
2018-07-15,59
2018-07-22,61
2018-07-29,58
2018-08-05,55
2018-08-12,55
2018-08-19,53
2018-08-26,59
2018-09-02,57
2018-09-09,57
2018-09-16,57
2018-09-23,63
2018-09-30,60
2018-10-07,58
2018-10-14,61
2018-10-21,62
2018-10-28,56
2018-11-04,55
2018-11-11,60
2018-11-18,51
2018-11-25,60
2018-12-02,51
2018-12-09,45
2018-12-16,39
2018-12-23,34
2018-12-30,37
2019-01-06,42
2019-01-13,42
2019-01-20,42
2019-01-27,43
2019-02-03,42
2019-02-10,45
2019-02-17,43
2019-02-24,43
2019-03-03,41
2019-03-10,41
2019-03-17,38
2019-03-24,40
2019-03-31,45
2019-04-07,45
2019-04-14,42
2019-04-21,50
2019-04-28,50
2019-05-05,48
2019-05-12,54
2019-05-19,46
2019-05-26,50
2019-06-02,42
2019-06-09,46
2019-06-16,52
2019-06-23,45
2019-06-30,43
2019-07-07,44
2019-07-14,40
2019-07-21,39
2019-07-28,37
2019-08-04,36
2019-08-11,36
2019-08-18,36
2019-08-25,37
2019-09-01,37
2019-09-08,37
2019-09-15,41
2019-09-22,39
2019-09-29,37
2019-10-06,36
2019-10-13,36
2019-10-20,36
2019-10-27,40
2019-11-03,38
2019-11-10,37
2019-11-17,37
2019-11-24,38
2019-12-01,36
2019-12-08,35
2019-12-15,33
2019-12-22,29
2019-12-29,29
2020-01-05,33
2020-01-12,36
2020-01-19,35
2020-01-26,37
2020-02-02,35
2020-02-09,37
2020-02-16,36
2020-02-23,33
2020-03-01,34
2020-03-08,32
2020-03-15,28
2020-03-22,30
2020-03-29,30
2020-04-05,34
2020-04-12,32
2020-04-19,34
2020-04-26,35
2020-05-03,36
2020-05-10,37
2020-05-17,34
2020-05-24,32
2020-05-31,33
2020-06-07,31
2020-06-14,34
2020-06-21,33
2020-06-28,30
2020-07-05,38
2020-07-12,37
2020-07-19,36
2020-07-26,39
2020-08-02,34
2020-08-09,34
2020-08-16,37
2020-08-23,34
2020-08-30,32
2020-09-06,30
2020-09-13,32
2020-09-20,33
2020-09-27,30
2020-10-04,31
2020-10-11,30
2020-10-18,32
2020-10-25,31
2020-11-01,39
2020-11-08,38
2020-11-15,35
2020-11-22,37
2020-11-29,34
2020-12-06,34
2020-12-13,41
2020-12-20,36
2020-12-27,43
2021-01-03,70
2021-01-10,66
2021-01-17,57
2021-01-24,52
2021-01-31,60
2021-02-07,78
2021-02-14,100
2021-02-21,85
2021-02-28,74
2021-03-07,75
2021-03-14,70
2021-03-21,65
2021-03-28,61
2021-04-04,62
2021-04-11,77
2021-04-18,78
2021-04-25,68
2021-05-02,76
2021-05-09,82
2021-05-16,70
2021-05-23,62
2021-05-30,58
2021-06-06,56
2021-06-13,49
2021-06-20,44
2021-06-27,46
2021-07-04,41
2021-07-11,42
2021-07-18,42
2021-07-25,46
2021-08-01,45
2021-08-08,42
2021-08-15,45
2021-08-22,49
2021-08-29,51
2021-09-05,52
2021-09-12,52
2021-09-19,50
2021-09-26,46
2021-10-03,49
2021-10-10,49
2021-10-17,63
2021-10-24,66
2021-10-31,67
2021-11-07,73
2021-11-14,71
2021-11-21,64
2021-11-28,67
2021-12-05,63
2021-12-12,62
2021-12-19,56
2021-12-26,56
2022-01-02,80
2022-01-09,80
2022-01-16,76
2022-01-23,81
2022-01-30,81
2022-02-06,78
2022-02-13,79
2022-02-20,70
2022-02-27,68
2022-03-06,68
2022-03-13,67
2022-03-20,71
2022-03-27,69
2022-04-03,73
2022-04-10,63
2022-04-17,63
2022-04-24,67
2022-05-01,62
2022-05-08,72
2022-05-15,64
2022-05-22,62
2022-05-29,58
2022-06-05,56
2022-06-12,54
2022-06-19,52
2022-06-26,52
2022-07-03,52
2022-07-10,55
2022-07-17,50
2022-07-24,48
2022-07-31,46
2022-08-07,45
2022-08-14,46
2022-08-21,47
2022-08-28,50
2022-09-04,45
2022-09-11,50
2022-09-18,49
2022-09-25,53
2022-10-02,45
2022-10-09,50
2022-10-16,50
2022-10-23,46
2022-10-30,53
2022-11-06,50
2022-11-13,52
2022-11-20,43
2022-11-27,44
2022-12-04,44
2022-12-11,46
2022-12-18,37
2022-12-25,33
2023-01-01,39
2023-01-08,41
2023-01-15,40
2023-01-22,34
